localidad,municipio,area_km2,tipo,fuente
Catia La Mar,Vargas (La Guaira),1497,parroquia (area municipal),Wikipedia/INE
La Guaira,Vargas (La Guaira),1497,parroquia (area municipal),Wikipedia/INE
Caraballeda,Vargas (La Guaira),1497,parroquia (area municipal),Wikipedia/INE
Maiquetia,Vargas (La Guaira),1497,parroquia (area municipal),Wikipedia/INE
Puerto Cabello,Puerto Cabello (Carabobo),729,municipio,Wikipedia/INE
Valencia,Valencia (Carabobo),623,municipio,Wikipedia/INE
San Diego,San Diego (Carabobo),106,municipio,Wikipedia/INE
Los Guayos,Los Guayos (Carabobo),73,municipio,Wikipedia/INE
Tocuyito,Libertador (Carabobo),558,capital (area municipal),Wikipedia/INE
Guacara,Guacara (Carabobo),165,municipio,Wikipedia/INE
Caracas,Libertador (Distrito Capital),433,municipio,Wikipedia/INE
Petare,Sucre (Miranda),164,municipio,Wikipedia/INE
Los Teques,Guaicaipuro (Miranda),661,municipio,Wikipedia/INE
Maracay,Girardot (Aragua),302,municipio,Wikipedia/INE
San Felipe,San Felipe (Yaracuy),472,municipio,Wikipedia/INE
